"","ACC_CNV","ACC_Methy","ACC_miRNA","ACC_mRNA","ACC_multi","BRCA_CNV","BRCA_Methy","BRCA_miRNA","BRCA_mRNA","BRCA_multi","COAD_CNV","COAD_Methy","COAD_miRNA","COAD_mRNA","COAD_multi","KIRC_CNV","KIRC_Methy","KIRC_miRNA","KIRC_mRNA","KIRC_multi","KIRP_CNV","KIRP_Methy","KIRP_miRNA","KIRP_mRNA","KIRP_multi","LIHC_CNV","LIHC_Methy","LIHC_miRNA","LIHC_mRNA","LIHC_multi","LUAD_CNV","LUAD_Methy","LUAD_miRNA","LUAD_mRNA","LUAD_multi","LUSC_CNV","LUSC_Methy","LUSC_miRNA","LUSC_mRNA","LUSC_multi"
"F2_partial",1.02155802020097e-35,6.25472125533263e-23,3.82718281558625e-13,6.91059029036228e-55,1.68991690828251e-124,5.93671649377255e-34,2.17961006299729e-06,0.132911376549556,5.55614501416947e-08,9.5556633793923e-48,3.74565777653853e-60,9.99548204240414e-14,0.00648899091990357,1.34677645057526e-17,3.27193388089503e-92,5.70384551300971e-124,7.60125754476804e-39,6.40218669671278e-10,3.02947498930264e-43,8.40908820224957e-214,7.97578776908978e-17,1.87736113030069e-12,0.0237985640737036,1.44642532882097e-12,5.15428208639849e-42,4.2882480591607e-61,8.12787019797277e-17,0.00185270077633751,3.81251489995789e-24,2.46191748166543e-103,1.64931743076072e-153,8.63872366688953e-23,9.64551660973683e-05,4.69147426068463e-26,6.44746008445106e-205,2.90758972759325e-97,3.79271347943116e-27,2.93775453371655e-05,7.90143100681413e-33,2.55979047362189e-160
"F3_partial",0.647058823529412,0.647058823529412,0.705882352941176,0.647058823529412,0.647058823529412,0.938775510204082,0.938775510204082,0.959183673469388,0.918367346938776,0.918367346938776,0.916666666666667,0.895833333333333,0.9375,0.875,0.875,0.911764705882353,0.897058823529412,0.897058823529412,0.852941176470588,0.852941176470588,0.88,0.84,0.92,0.84,0.84,0.940594059405941,0.910891089108911,0.95049504950495,0.940594059405941,0.910891089108911,0.948275862068966,0.913793103448276,0.939655172413793,0.939655172413793,0.913793103448276,0.953703703703704,0.944444444444444,0.925925925925926,0.925925925925926,0.925925925925926
"F4_partial",0.647058823529412,0.647058823529412,0.705882352941176,0.647058823529412,0.647058823529412,0.938775510204082,0.938775510204082,0.959183673469388,0.918367346938776,0.918367346938776,0.916666666666667,0.895833333333333,0.9375,0.875,0.875,0.911764705882353,0.897058823529412,0.897058823529412,0.852941176470588,0.852941176470588,0.88,0.84,0.92,0.84,0.84,0.940594059405941,0.910891089108911,0.95049504950495,0.940594059405941,0.910891089108911,0.948275862068966,0.913793103448276,0.939655172413793,0.939655172413793,0.913793103448276,0.953703703703704,0.944444444444444,0.925925925925926,0.925925925925926,0.925925925925926
"N1_partial",0.25,0.3,0.2,0.183333333333333,0.216666666666667,0.0933521923620934,0.0961810466760962,0.0947666195190948,0.0905233380480905,0.0777934936350778,0.24896265560166,0.269709543568465,0.261410788381743,0.37344398340249,0.20746887966805,0.334728033472803,0.251046025104602,0.313807531380753,0.280334728033473,0.297071129707113,0.150406504065041,0.101626016260163,0.138211382113821,0.142276422764228,0.130081300813008,0.365019011406844,0.380228136882129,0.418250950570342,0.513307984790874,0.391634980988593,0.341463414634146,0.38719512195122,0.432926829268293,0.371951219512195,0.356707317073171,0.459349593495935,0.447154471544715,0.390243902439024,0.434959349593496,0.414634146341463
"N2_partial",0.534017207761057,0.516133660146788,0.517606735397187,0.50014472583373,0.504275065188039,0.54263552825339,0.523671393920819,0.527937477349318,0.527201996055389,0.52446634735957,0.530355453053,0.520241737390063,0.514684962373749,0.515064148443968,0.516101023770847,0.529160654040309,0.505402945070059,0.511321006306535,0.513811535503482,0.506531667717384,0.586665193887132,0.520064983735274,0.525865859240284,0.530957225169847,0.521078987001163,0.524473316412605,0.511932468516936,0.508245920060289,0.51165549449707,0.511028773589969,0.517620314156653,0.513714332063963,0.506941927008339,0.506128753462314,0.50902665017959,0.513525766907087,0.509159359520269,0.508345538242603,0.510829174135089,0.509397489705283
"N3_partial",0.705882352941177,0.882352941176471,0.882352941176471,0.352941176470588,0.529411764705882,0.959183673469388,0.897959183673469,0.938775510204082,0.897959183673469,0.918367346938776,0.875,0.916666666666667,0.833333333333333,0.75,0.770833333333333,0.75,0.588235294117647,0.720588235294118,0.735294117647059,0.602941176470588,0.88,0.84,0.84,0.84,0.84,0.663366336633663,0.742574257425743,0.683168316831683,0.722772277227723,0.732673267326733,0.758620689655172,0.71551724137931,0.698275862068966,0.612068965517241,0.71551724137931,0.740740740740741,0.666666666666667,0.712962962962963,0.805555555555556,0.768518518518518
"N4_partial",0.285714285714286,0,0,0,0,0.169312169312169,0.0462962962962963,0.0224867724867725,0.0171957671957672,0.00264550264550265,0.231833910034602,0.0311418685121107,0.027681660899654,0.0207612456747405,0,0.228013029315961,0.00651465798045603,0.00651465798045603,0.0390879478827362,0.00325732899022801,0.357933579335793,0.011070110701107,0,0.03690036900369,0.003690036900369,0.134615384615385,0.123626373626374,0,0.0137362637362637,0.0192307692307692,0.128378378378378,0.0585585585585586,0.0112612612612613,0.00225225225225225,0.00675675675675676,0.115819209039548,0.0141242937853107,0.00564971751412429,0.00282485875706215,0
"T1_partial",0.823529411764706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985294117647059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L1_partial",0,0,0,0,0,0,0,0.0268783199391254,0,0,0,0,0,0,0,0,0,0,0,0,0.123187296496196,0,0,0,0,0,0,0.174743215603544,0,0,0,0,0.282813292446933,0,0,0,0,0.0968614400198239,0,0
"L2_partial",0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.118811881188119,0,0,0,0,0.137931034482759,0,0,0,0,0.0833333333333334,0,0
"L3_partial",0,0,0,0,0,0,0,0.0304232804232805,0,0,0,0,0,0,0,0,0,0,0,0,0.132841328413284,0,0,0,0,0,0,0.137362637362637,0,0,0,0,0.18018018018018,0,0,0,0,0.056497175141243,0,0
